timestamp,dxy_value,date,datetime,description,dxy_ma_20,dxy_ma_50,dxy_ma_200
1682568000,101.5,2023-04-26,2023-04-26 23:00:00,U.S. Dollar Index (DXY),,,
1682654400,101.66999816894531,2023-04-27,2023-04-27 23:00:00,U.S. Dollar Index (DXY),,,
1682913600,102.1500015258789,2023-04-30,2023-04-30 23:00:00,U.S. Dollar Index (DXY),,,
1683000000,101.95999908447266,2023-05-01,2023-05-01 23:00:00,U.S. Dollar Index (DXY),,,
1683086400,101.33999633789062,2023-05-02,2023-05-02 23:00:00,U.S. Dollar Index (DXY),,,
1683172800,101.4000015258789,2023-05-03,2023-05-03 23:00:00,U.S. Dollar Index (DXY),,,
1683259200,101.20999908447266,2023-05-04,2023-05-04 23:00:00,U.S. Dollar Index (DXY),,,
1683518400,101.37000274658203,2023-05-07,2023-05-07 23:00:00,U.S. Dollar Index (DXY),,,
1683604800,101.61000061035156,2023-05-08,2023-05-08 23:00:00,U.S. Dollar Index (DXY),,,
1683691200,101.4800033569336,2023-05-09,2023-05-09 23:00:00,U.S. Dollar Index (DXY),,,
1683777600,102.05999755859375,2023-05-10,2023-05-10 23:00:00,U.S. Dollar Index (DXY),,,
1683864000,102.68000030517578,2023-05-11,2023-05-11 23:00:00,U.S. Dollar Index (DXY),,,
1684123200,102.43000030517578,2023-05-14,2023-05-14 23:00:00,U.S. Dollar Index (DXY),,,
1684209600,102.55999755859375,2023-05-15,2023-05-15 23:00:00,U.S. Dollar Index (DXY),,,
1684296000,102.87999725341797,2023-05-16,2023-05-16 23:00:00,U.S. Dollar Index (DXY),,,
1684382400,103.58000183105469,2023-05-17,2023-05-17 23:00:00,U.S. Dollar Index (DXY),,,
1684468800,103.19999694824219,2023-05-18,2023-05-18 23:00:00,U.S. Dollar Index (DXY),,,
1684728000,103.19999694824219,2023-05-21,2023-05-21 23:00:00,U.S. Dollar Index (DXY),,,
1684814400,103.48999786376953,2023-05-22,2023-05-22 23:00:00,U.S. Dollar Index (DXY),,,
1684900800,103.88999938964844,2023-05-23,2023-05-23 23:00:00,U.S. Dollar Index (DXY),102.28299942016602,,
1684987200,104.20999908447266,2023-05-24,2023-05-24 23:00:00,U.S. Dollar Index (DXY),102.41849937438965,,
1685073600,104.20999908447266,2023-05-25,2023-05-25 23:00:00,U.S. Dollar Index (DXY),102.54549942016601,,
1685419200,104.16999816894531,2023-05-29,2023-05-29 23:00:00,U.S. Dollar Index (DXY),102.64649925231933,,
