date,GC=F_open,GC=F_high,GC=F_low,GC=F_close,GC=F_volume,GLD_open,GLD_high,GLD_low,GLD_close,GLD_volume,DX-Y.NYB_open,DX-Y.NYB_high,DX-Y.NYB_low,DX-Y.NYB_close,DX-Y.NYB_volume
2020-04-26,1731.9000244140625,1731.9000244140625,1711.9000244140625,1711.9000244140625,169.0,161.8800048828125,162.0,160.41000366210938,161.55999755859375,9033500.0,100.2300033569336,100.31999969482422,99.83000183105469,100.04000091552734,0.0
2020-04-27,1716.5999755859375,1716.5999755859375,1707.0999755859375,1710.5,1255.0,161.8800048828125,162.0,160.41000366210938,161.55999755859375,9033500.0,100.05999755859375,100.20999908447266,99.44999694824219,99.87000274658203,0.0
2020-04-28,1710.0,1713.5,1702.0,1703.4000244140625,373.0,160.88999938964844,160.97999572753906,159.16000366210938,160.83999633789062,10383000.0,99.87999725341797,99.88999938964844,99.47000122070312,99.56999969482422,0.0
2020-04-29,1719.300048828125,1719.300048828125,1680.800048828125,1684.199951171875,327.0,160.10000610351562,161.85000610351562,159.75999450683594,161.72999572753906,12232300.0,99.4800033569336,99.7300033569336,98.80999755859375,99.0199966430664,0.0
2020-04-30,1686.5999755859375,1701.5,1670.5,1694.5,337.0,160.22000122070312,160.82000732421875,158.1300048828125,158.8000030517578,13633500.0,99.12999725341797,99.20999908447266,98.77999877929688,98.80000305175781,0.0
2020-05-01,1686.5999755859375,1701.5,1670.5,1694.5,337.0,158.0,160.4499969482422,157.8000030517578,159.77999877929688,10914300.0,99.12999725341797,99.20999908447266,98.77999877929688,98.80000305175781,0.0
2020-05-03,1702.5999755859375,1709.0,1699.5999755859375,1706.9000244140625,320.0,158.0,160.4499969482422,157.8000030517578,159.77999877929688,10914300.0,99.08999633789062,99.5999984741211,99.08999633789062,99.4800033569336,0.0
2020-05-04,1701.5,1704.4000244140625,1697.199951171875,1704.4000244140625,82.0,160.3300018310547,160.9499969482422,159.91000366210938,160.33999633789062,7986200.0,99.51000213623047,99.97000122070312,99.30000305175781,99.70999908447266,0.0
2020-05-05,1704.0,1704.0,1684.199951171875,1684.199951171875,469.0,160.16000366210938,161.10000610351562,159.3300018310547,161.02000427246094,10563100.0,99.80000305175781,100.19999694824219,99.75,100.08999633789062,0.0
2020-05-06,1686.199951171875,1721.800048828125,1685.5999755859375,1721.800048828125,853.0,158.99000549316406,159.80999755859375,158.10000610351562,158.9499969482422,13352000.0,100.20999908447266,100.4000015258789,99.80999755859375,99.88999938964844,0.0
2020-05-07,1726.199951171875,1728.9000244140625,1703.800048828125,1709.9000244140625,330.0,159.5,161.9600067138672,159.36000061035156,161.38999938964844,13691700.0,99.83999633789062,99.94000244140625,99.45999908447266,99.7300033569336,0.0
2020-05-08,1726.199951171875,1728.9000244140625,1703.800048828125,1709.9000244140625,330.0,161.0800018310547,162.0,160.0,160.4199981689453,12240900.0,99.83999633789062,99.94000244140625,99.45999908447266,99.7300033569336,0.0
