timestamp,value,classification,source,date,year,month,day,day_of_week,hour
2025-04-26 15:39:07,35.3428571428571,fear,CNN Fear & Greed Alternative API,,,,,,
2025-04-26 15:42:06,35.3428571428571,fear,CNN Fear & Greed API,2025-04-26,2025.0,4.0,26.0,5.0,15.0
2025-04-26 15:52:41,35.3428571428571,fear,CNN Fear & Greed API,2025-04-26,2025.0,4.0,26.0,5.0,15.0
